name,洲別,國別,value
2016,Europe,英國,3815
2016,Europe,德國,1488
2016,Europe,波蘭,561
2016,Europe,奧地利,419
2016,Europe,俄羅斯,181
2016,Europe,丹麥,33
2016,Europe,比利時,120
2016,Europe,荷蘭,400
2016,Europe,芬蘭,37
2016,Europe,挪威,20
2016,Europe,瑞典,113
2016,Europe,冰島,2
2016,Americas,加拿大,4827
2016,Americas,美國,21127
2016,Oceania,澳大利亞,13582
2016,Oceania,紐西蘭,1106
2016,Asia,日本,8444
2016,Asia,韓國,265
2016,Asia,泰國,217
2016,Asia,新加坡,9
2016,Asia,馬來西亞,502
2016,Asia,印尼,210
2016,Asia,菲律賓,64
2016,Asia,印度,15
2016,Asia,越南,364
2016,Asia,汶萊,19
2016,Asia,斯里蘭卡,14
2016,Asia,尼泊爾,1
2016,Asia,孟加拉,1
2017,Europe,英國,3920
2017,Europe,法國,1004
2017,Europe,德國,1755
2017,Europe,波蘭,758
2017,Europe,奧地利,456
2017,Europe,捷克,43
2017,Europe,比利時,120
2017,Europe,瑞士,307
2017,Europe,義大利,250
2017,Europe,西班牙,300
2017,Europe,土耳其,36
2017,Europe,愛爾蘭,10
2017,Europe,俄羅斯,172
2017,Europe,丹麥,24
2017,Europe,荷蘭,400
2017,Europe,芬蘭,45
2017,Europe,挪威,7
2017,Europe,瑞典,105
2017,Americas,加拿大,3202
2017,Americas,美國,21127
2017,Americas,巴拿馬,20
2017,Asia,日本,9642
2017,Asia,韓國,242
2017,Asia,泰國,176
2017,Asia,越南,154
2017,Asia,馬來西亞,513
2017,Asia,印尼,16
2017,Asia,印度,13
2017,Asia,以色列,19
2017,Asia,阿拉伯聯合大公國(杜拜地區),21
2017,Asia,約旦,20
2017,Oceania,澳大利亞,16573
2017,Oceania,紐西蘭,1820
2018,Europe,英國,3775
2018,Europe,法國,1079
2018,Europe,德國,2013
2018,Europe,波蘭,758
2018,Europe,奧地利,400
2018,Europe,捷克,26
2018,Europe,荷蘭,408
2018,Europe,比利時,156
2018,Europe,匈牙利,53
2018,Europe,土耳其,30
2018,Europe,愛爾蘭,18
2018,Europe,俄羅斯,146
2018,Europe,丹麥,16
2018,Europe,芬蘭,71
2018,Europe,挪威,20
2018,Europe,瑞典,133
2018,Americas,加拿大,5330
2018,Americas,美國,21516
2018,Americas,智利,1
2018,Americas,哥倫比亞,1
2018,Americas,聖露西亞,7
2018,Americas,聖克里斯多福及尼維斯,1
2018,Asia,日本,10347
2018,Asia,韓國,123
2018,Asia,泰國,199
2018,Asia,越南,60
2018,Asia,馬來西亞,498
2018,Asia,印尼,25
2018,Asia,印度,18
2018,Asia,緬甸,1
2018,Asia,新加坡,2
2018,Asia,科威特,9
2018,Asia,以色列,29
2018,Asia,沙烏地阿拉伯,22
2018,Asia,阿拉伯聯合大公國(杜拜地區),4
2018,Asia,巴林,1
2018,Oceania,澳大利亞,18227
2018,Oceania,紐西蘭,2070
2019,Europe,英國,3850
2019,Europe,法國,648
2019,Europe,德國,2390
2019,Europe,波蘭,853
2019,Europe,奧地利,413
2019,Europe,西班牙,450
2019,Europe,義大利,197
2019,Europe,荷蘭,353
2019,Europe,比利時,232
2019,Europe,匈牙利,147
2019,Europe,愛爾蘭,21
2019,Europe,俄羅斯,160
2019,Europe,丹麥,23
2019,Europe,芬蘭,46
2019,Europe,挪威,12
2019,Europe,瑞典,160
2019,Europe,冰島,2
2019,Americas,加拿大,4390
2019,Americas,美國,23369
2019,Americas,智利,1
2019,Americas,哥倫比亞,5
2019,Americas,聖露西亞,3
2019,Americas,聖克里斯多福及尼維斯,3
2019,Asia,日本,9524
2019,Asia,韓國,2162
2019,Asia,泰國,305
2019,Asia,越南,74
2019,Asia,馬來西亞,501
2019,Asia,印尼,25
2019,Asia,印度,23
2019,Asia,土耳其,20
2019,Asia,菲律賓,101
2019,Asia,新加坡,8
2019,Asia,科威特,10
2019,Asia,以色列,34
2019,Asia,沙烏地阿拉伯,20
2019,Asia,阿拉伯聯合大公國(杜拜地區),4
2019,Asia,巴林,1
2019,Oceania,澳大利亞,18791
2019,Oceania,紐西蘭,1890
2020,Europe,英國,4045
2020,Europe,法國,668
2020,Europe,德國,3155
2020,Europe,波蘭,1007
2020,Europe,奧地利,428
2020,Europe,西班牙,350
2020,Europe,義大利,212
2020,Europe,荷蘭,504
2020,Europe,比利時,178
2020,Europe,匈牙利,160
2020,Europe,愛爾蘭,21
2020,Europe,俄羅斯,71
2020,Europe,烏克蘭,10
2020,Europe,丹麥,22
2020,Europe,芬蘭,37
2020,Europe,挪威,14
2020,Europe,瑞典,137
2020,Europe,冰島,0
2020,Europe,立陶宛,16
2020,Europe,拉脫維亞,17
2020,Europe,愛沙尼亞,8
2020,Europe,斯洛伐克,1
2020,Americas,加拿大,5123
2020,Americas,美國,23724
2020,Americas,智利,1
2020,Americas,哥倫比亞,1
2020,Americas,聖露西亞,2
2020,Americas,宏都拉斯,4
2020,Americas,聖克里斯多福及尼維斯,6
2020,Asia,日本,9584
2020,Asia,韓國,1382
2020,Asia,泰國,291
2020,Asia,越南,0
2020,Asia,馬來西亞,346
2020,Asia,印尼,48
2020,Asia,印度,20
2020,Asia,土耳其,28
2020,Asia,菲律賓,66
2020,Asia,新加坡,41
2020,Asia,阿曼,1
2020,Asia,蒙古,1
2020,Asia,約旦,6
2020,Oceania,澳大利亞,18439
2020,Oceania,紐西蘭,1300
2020,Oceania,斐濟,1
2020,Oceania,帛琉,10
2020,Africa,奈及利亞,2
2021,Americas,加拿大,3980
2021,Americas,美國,19673
2021,Americas,宏都拉斯,10
2021,Americas,貝里斯,2
2021,Americas,聖克里斯多福及尼維斯,4
2021,Americas,聖露西亞,4
2021,Asia,日本,7174
2021,Asia,韓國,1558
2021,Asia,菲律賓,27
2021,Asia,越南,1
2021,Asia,泰國,332
2021,Asia,印尼,6
2021,Asia,馬來西亞,470
2021,Asia,新加坡,63
2021,Asia,印度,11
2021,Asia,杜拜,45
2021,Asia,土耳其,13
2021,Asia,沙烏地阿拉伯,6
2021,Asia,帛琉,9
2021,Asia,阿曼,1
2021,Asia,約旦,5
2021,Asia,蒙古,1
2021,Oceania,澳大利亞,15582
2021,Oceania,紐西蘭,635
2021,Oceania,斐濟,1
2021,Oceania,馬紹爾群島共和國,1
2021,Europe,英國,4185
2021,Europe,愛爾蘭,21
2021,Europe,法國,363
2021,Europe,義大利,3
2021,Europe,西班牙,405
2021,Europe,德國,2862
2021,Europe,捷克,244
2021,Europe,荷蘭,481
2021,Europe,比利時,183
2021,Europe,以色列,22
2021,Europe,瑞士,200
2021,Europe,奧地利,366
2021,Europe,波蘭,923
2021,Europe,?陶宛,3
2021,Europe,拉托維亞,12
2021,Europe,愛沙尼亞,14
2021,Europe,丹麥,17
2021,Europe,挪威,12
2021,Europe,瑞典,147
2021,Europe,芬蘭,29
2021,Europe,俄羅斯,38
2021,Europe,烏克蘭,10
2021,Europe,葡萄牙,3
2021,Europe,匈牙利,150
2022,Americas,加拿大,3800
2022,Americas,美國,20487
2022,Americas,貝里斯,2
2022,Americas,"聖克里斯多福及
尼維斯",1
2022,Americas,聖露西亞,2
2022,Americas,聖文森國,1
2022,Americas,智利,1
2022,Asia,日本,4887
2022,Asia,韓國,1871
2022,Asia,菲律賓,95
2022,Asia,越南,77
2022,Asia,泰國,200
2022,Asia,印尼,10
2022,Asia,馬來西亞,430
2022,Asia,新加坡,75
2022,Asia,印度,12
2022,Asia,阿拉伯聯合大公國,72
2022,Asia,沙烏地阿拉伯,9
2022,Asia,土耳其,8
2022,Asia,阿曼,1
2022,Asia,約旦,2
2022,Asia,蒙古,1
2022,Asia,科威特,6
2022,Asia,巴林,7
2022,Asia,以色列,17
2022,Africa,奈及利亞,1
2022,Africa,南非,1
2022,Europe,英國,3235
2022,Europe,愛爾蘭,27
2022,Europe,法國,353
2022,Europe,義大利,360
2022,Europe,西班牙,648
2022,Europe,葡萄牙,5
2022,Europe,德國,2790
2022,Europe,捷克,120
2022,Europe,荷蘭,574
2022,Europe,比利時,226
2022,Europe,瑞士,310
2022,Europe,奧地利,393
2022,Europe,波蘭,810
2022,Europe,立陶宛,5
2022,Europe,拉脫維亞,15
2022,Europe,愛沙尼亞,18
2022,Europe,丹麥,16
2022,Europe,挪威,18
2022,Europe,瑞典,164
2022,Europe,芬蘭,32
2022,Europe,俄羅斯,45
2022,Europe,白俄羅斯,1
2022,Europe,斯洛伐克,3
2022,Europe,匈牙利,160
2022,Europe,梵蒂岡,7
2022,Oceania,澳大利亞,11877
2022,Oceania,紐西蘭,385
2022,Oceania,帛琉,7
2022,Oceania,馬紹爾群島共和國,1
2023,Americas,加拿大,4240
2023,Americas,美國,21834
2023,Americas,貝里斯,4
2023,Americas,聖露西亞,2
2023,Americas,智利,2
2023,Asia,日本,5015
2023,Asia,韓國,2172
2023,Asia,菲律賓,236
2023,Asia,越南,253
2023,Asia,泰國,235
2023,Asia,印尼,12
2023,Asia,馬來西亞,273
2023,Asia,新加坡,417
2023,Asia,印度,15
2023,Asia,阿拉伯聯合大公國,43
2023,Asia,土耳其,12
2023,Asia,阿曼,2
2023,Asia,科威特,9
2023,Asia,以色列,16
2023,Oceania,澳大利亞,10673
2023,Oceania,紐西蘭,475
2023,Oceania,帛琉,13
2023,Europe,英國,3685
2023,Europe,愛爾蘭,50
2023,Europe,法國,385
2023,Europe,義大利,426
2023,Europe,西班牙,690
2023,Europe,德國,2868
2023,Europe,荷蘭,664
2023,Europe,比利時,257
2023,Europe,瑞士,243
2023,Europe,奧地利,388
2023,Europe,波蘭,744
2023,Europe,立陶宛,7
2023,Europe,拉脫維亞,14
2023,Europe,愛沙尼亞,19
2023,Europe,丹麥,11
2023,Europe,挪威,17
2023,Europe,瑞典,149
2023,Europe,芬蘭,26
2023,Europe,俄羅斯,36
2023,Europe,白俄羅斯,1
2023,Europe,斯洛伐克,1
2023,Europe,匈牙利,160
2023,Africa,南非,4